15-05-2022_16-10-15 | Guardian: 0
15-05-2022_16-10-15 | Room size: 15
15-05-2022_16-10-15 | Use Delay: 0
15-05-2022_16-10-15 | Delay: 255.710007
15-05-2022_16-10-15 | # Players: 2
15-05-2022_16-10-15 | Border: (7.500000,0.000000,7.500000)
15-05-2022_16-10-15 | Border: (7.500000,0.000000,-7.500000)
15-05-2022_16-10-15 | Border: (-7.500000,0.000000,-7.500000)
15-05-2022_16-10-15 | Border: (-7.500000,0.000000,7.500000)
15-05-2022_16-10-15 | Offsets: (0.000000,0.000000,0.000000)
15-05-2022_16-10-15 | Offsets: (0.000000,0.000000,0.000000)
