14-05-2022_21-38-49 | Guardian: 0
14-05-2022_21-38-49 | Room size: 15
14-05-2022_21-38-49 | Use Delay: 0
14-05-2022_21-38-49 | Delay: 255.710007
14-05-2022_21-38-49 | # Players: 2
14-05-2022_21-38-49 | Border: (7.000000,0.000000,7.000000)
14-05-2022_21-38-49 | Border: (7.000000,0.000000,-7.000000)
14-05-2022_21-38-49 | Border: (-7.000000,0.000000,-7.000000)
14-05-2022_21-38-49 | Border: (-7.000000,0.000000,7.000000)
14-05-2022_21-38-49 | Offsets: (-3.750000,0.000000,3.750000)
14-05-2022_21-38-49 | Offsets: (3.750000,0.000000,-3.750000)
